,LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Count,Gender,Age,Under 30,Married,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,churn_encoded
0,318537,7590-VHVEG,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,1.0,Female,36.0,No,Yes,0.0,KQVCVY8549,United States,California,Los Angeles,90001.0,"33.973616, -118.24902",33.973616,-118.24902,0
1,152148,5575-GNVDE,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,1.0,Male,46.0,No,No,0.0,PIYXEN8915,United States,California,Los Angeles,90002.0,"33.949255, -118.246978",33.949255,-118.246978,0
2,326527,3668-QPYBK,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1.0,Male,37.0,No,No,0.0,PZZUIT6837,United States,California,Los Angeles,90003.0,"33.964131, -118.272783",33.964131,-118.272783,1
3,845894,7795-CFOCW,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,1.0,Male,53.0,No,No,0.0,KVBPAB7894,United States,California,Los Angeles,90004.0,"34.076259, -118.310715",34.076259,-118.310715,0
6,680623,1452-KIOVK,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1.0,Male,42.0,No,No,3.0,LFSFDU3869,United States,California,Los Angeles,90007.0,"34.027337, -118.28515",34.027337,-118.28515,0
7,340874,6713-OKOMC,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,1.0,Female,42.0,No,No,0.0,WCIGNC4964,United States,California,Los Angeles,90008.0,"34.008293, -118.346766",34.008293,-118.346766,0
10,925283,9763-GRSKD,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1.0,Male,37.0,No,Yes,2.0,IMGQKK8449,United States,California,Los Angeles,90012.0,"34.065875, -118.238728",34.065875,-118.238728,0
11,185808,7469-LKBCI,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,1.0,Male,21.0,Yes,No,0.0,ZVWRJR6977,United States,California,Los Angeles,90013.0,"34.044639, -118.240413",34.044639,-118.240413,0
12,158680,8091-TTVAX,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,1.0,Male,39.0,No,Yes,0.0,SYXZXY1984,United States,California,Los Angeles,90014.0,"34.043144, -118.251977",34.043144,-118.251977,0
14,529260,5129-JLPIS,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,1.0,Male,27.0,Yes,No,0.0,WTXQXZ6641,United States,California,Los Angeles,90016.0,"34.028331, -118.354338",34.028331,-118.354338,0
16,698246,8191-XWSZG,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,1.0,Female,57.0,No,No,0.0,SQJQYI9361,United States,California,Los Angeles,90018.0,"34.028735, -118.317236",34.028735,-118.317236,0
19,584979,4183-MYFRB,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1.0,Female,30.0,No,No,0.0,RHIMQM3989,United States,California,Los Angeles,90021.0,"34.029043, -118.239504",34.029043,-118.239504,0
20,352579,8779-QRDMV,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1.0,Male,78.0,No,No,0.0,OXCZEW7397,United States,California,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,-118.156582,1
21,814029,1680-VDCWW,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,1.0,Male,45.0,No,Yes,0.0,EGFJXV8978,United States,California,Los Angeles,90023.0,"34.017697, -118.200577",34.017697,-118.200577,0
22,792781,1066-JKSGK,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1.0,Male,29.0,Yes,No,0.0,JCBHAM3275,United States,California,Los Angeles,90024.0,"34.066303, -118.435479",34.066303,-118.435479,1
23,960831,3638-WEABW,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,1.0,Female,25.0,Yes,Yes,0.0,AWYYTA6439,United States,California,Los Angeles,90025.0,"34.046174, -118.446333",34.046174,-118.446333,0
